comune,year,DC_VV,bui_labf,laurea_p,laureaf_p,h_wo_water_wc_p,illiterate_p,young_p,Mafia1987
acate,1946,0.0822587832808495,0.0206864569336176,0.00344861950725317,0,0.156524300575256,0.26575979590416,0.485449731349945,0
acate,1948,0.367953658103943,0.0319186002016068,0.0034892016556114,0,0.136291265487671,0.251159906387329,0.483796000480652,0
acate,1953,0.453914374113083,0.0599989630281925,0.00359065691009164,3.20067076245323e-4,0.0857086703181267,0.214660197496414,0.479661673307419,0
acate,1958,0.436688303947449,0.0880793258547783,0.00369211216457188,6.5311964135617e-4,0.0351260788738728,0.178160488605499,0.475527346134186,0
acate,1963,0.454451709985733,0.108958937227726,0.00410393718630075,9.23324842005968e-4,0.00389006827026606,0.143011972308159,0.470485597848892,0
acate,1968,0.386423826217651,0.119037427008152,0.00498131709173322,0.00109925889410079,0.00167392182629555,0.109890252351761,0.464082688093185,0
acate,1972,0.368876069784164,0.124757044017315,0.00595221761614084,0.00138142588548362,3.24665103107691e-4,0.0862591043114662,0.458884119987488,0
acate,1976,0.353713005781174,0.123447135090828,0.00773010589182377,0.00208785221911967,2.46389186941087e-4,0.0712266713380814,0.453456789255142,0
acate,1979,0.38645526766777,0.122464701533318,0.00906352140009403,0.00261767208576202,1.87682220712304e-4,0.0599523410201073,0.449386298656464,0
acate,1983,0.317707002162933,0.113485984504223,0.010841554030776,0.00331911654211581,6.16217614151537e-4,0.0520274341106415,0.435217678546906,0
acate,1987,0.34239262342453,0.0968384593725204,0.0126197300851345,0.00401557935401797,0.00155156420078129,0.0512100495398045,0.412307798862457,0
acate,1992,0.377122640609741,0.0783725157380104,0.0160956159234047,0.00565333757549524,0.0036132198292762,0.0481409020721912,0.383908122777939,0
acibonaccorsi,1946,0.662909865379333,0,0.00473198853433132,0,0.0366884879767895,0.205691605806351,0.397748798131943,0
acibonaccorsi,1948,0.762759923934937,0.0248313173651695,0.00472932914271951,0,0.0319363065063953,0.194531321525574,0.397420674562454,0
acibonaccorsi,1953,0.630709409713745,0.0993398278951645,0.00472268043085933,2.09424091735855e-4,0.020055849105119702,0.166630625724792,0.396600395441055,0
acibonaccorsi,1958,0.684024691581726,0.17384834587574,0.00471603125333786,7.32984277419746e-4,0.00817539356648922,0.138729944825172,0.395780116319656,0
acibonaccorsi,1963,0.672743082046509,0.216590330004692,0.00621103961020708,0.00191191514022648,0.00103300879709423,0.105013497173786,0.395820200443268,0
acibonaccorsi,1968,0.719346046447754,0.211682543158531,0.00995853450149298,0.00407390156760812,9.97729832306504e-4,0.0625734180212021,0.397150844335556,0
acibonaccorsi,1972,0.665024638175964,0.207060500979424,0.0125607773661613,0.00555373262614012,8.78906226716936e-4,0.036772258579731,0.397020697593689,0
acibonaccorsi,1976,0.646842896938324,0.200351074337959,0.0139757599681616,0.00628428719937801,4.8828125e-4,0.0354237854480743,0.393306612968445,0
acibonaccorsi,1979,0.700804710388184,0.195318996906281,0.015036997385323,0.00683220382779837,1.95312502910383e-4,0.0344124287366867,0.390521019697189,0
acibonaccorsi,1983,0.6283118724823,0.184141367673874,0.0170023702085018,0.00762239191681147,0,0.0319905541837215,0.381185412406921,0
acibonaccorsi,1987,0.602150559425354,0.168495550751686,0.0195181351155043,0.00847221259027719,0,0.0284952763468027,0.366228312253952,0
acibonaccorsi,1992,0.343626797199249,0.145997062325478,0.0257543995976448,0.0118421651422977,0,0.024853864684701,0.34541043639183,0
acicastello,1946,0.475940495729446,0.101256519556046,0.00538295181468129,3.69202287402004e-4,0.00622007716447115,0.219090044498444,0.479252517223358,0
acicastello,1948,0.702622473239899,0.106563046574593,0.0057413037866354,4.77800203952938e-4,0.00557725410908461,0.199777960777283,0.474019974470139,0
acicastello,1953,0.522937953472137,0.119829341769218,0.00663718348369002,7.49294995330274e-4,0.00397019553929567,0.15149775147438,0.460938692092896,0
acicastello,1958,0.629182577133179,0.133095636963844,0.00753306318074465,0.00102078984491527,0.00236313743516803,0.103217549622059,0.44785737991333,0
acicastello,1963,0.606214463710785,0.13790188729763,0.0109213571995497,0.00211586756631732,0.00115744711365551,0.0714911445975304,0.433735340833664,0
acicastello,1968,0.577377617359161,0.130018040537834,0.0180482733994722,0.00444631977006793,5.53808873519301e-4,0.0645954161882401,0.418052196502686,0
acicastello,1972,0.501726508140564,0.122324578464031,0.02559126727283,0.00731434021145105,1.8672869191505e-4,0.056765966117382,0.408227443695068,0
acicastello,1976,0.52958619594574,0.110471919178963,0.038658645004034,0.0131933372467756,1.67139660334215e-4,0.0419978946447372,0.406567931175232,0
acicastello,1979,0.54833447933197,0.101582422852516,0.0484591759741306,0.0176025852560997,1.52447872096673e-4,0.0309218391776085,0.405323326587677,0
